price,name_qnt,price_per_qnt,category
Your Price $7.99 each,Coca-Cola Soda Pop Classic - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $4.00 each,LaCroix Sparkling Water Orange - 8-12 Oz,($0.04 / Fl.oz),beverages
Your Price $7.99 each,Diet Coke Soda Pop Cola 12 Count - 12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Pepsi Soda Cola - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Coca-Cola Zero Sugar Soda Fridge Pack Cans - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Pepsi Diet Soda - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $13.99 each,Coca-Cola Soda Pop Classic - 24-12 Fl. Oz.,($0.05 / Fl.oz),beverages
Your Price $7.99 each,Canada Dry Ginger Ale Caffeine Free - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Sprite Soda Pop Lemon Lime Pack In Cans - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $5.69 each,Coca-Cola Soda Pop Classic - 6-16.9 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Dr Pepper Soda Fridge Pack - 12 - 12 Oz.,($0.06 / Fl.oz),beverages
Your Price $5.69 each,Diet Coke Soda Pop Cola 6 Count - 16.9 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $13.99 each,Pepsi Soda Cola - 24-12 Fl. Oz.,($0.05 / Fl.oz),beverages
Your Price $7.99 each,Coca-Cola Soda Pop Cherry Zero Sugar - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Mtn Dew Soda Original - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $5.69 each,Pepsi Soda Diet - 6-16.9 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Pepsi Soda Cola Wild Cherry - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Sprite Zero Sugar Soda Pop Lem... Cans - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Pepsi Soda Throwback - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.29 each,Coca-Cola Soda Pop Classic - 8-12 Fl. Oz.,($0.08 / Fl.oz),beverages
Your Price $7.99 each,Coca-Cola Soda Pop Flavored Cherry - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $2.99 each,Coca-Cola Soda Pop Classic - 2 Liter,($0.04 / Fl.oz),beverages
Your Price $7.99 each,Canada Dry Soda Zero Sugar Gin... Cans - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $5.69 each,Pepsi Soda Cola - 6-16.9 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Pepsi Soda Cola Zero Sugar Cans - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $6.69 each,Coca-Cola Soda Pop Classic - 10-7.5 Fl. Oz.,($0.09 / Fl.oz),beverages
Your Price $13.99 each,Diet Coke Soda Pop Cola 24 Count - 12 Fl. Oz.,($0.05 / Fl.oz),beverages
Your Price $7.99 each,A&W Root Beer Soda In Can - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.99 each,Barqs Soda Pop Root Beer - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
Your Price $7.29 each,Diet Coke Soda Pop Cola 8 Count - 12 Fl. Oz.,($0.08 / Fl.oz),beverages
Your Price $7.99 each,7UP Lemon Lime Soda In Can - 12-12 Fl. Oz.,($0.06 / Fl.oz),beverages
